Q1,Q1a,Q2,Q2a,Q3,Q3a,Q4,Q4a,Q5,Q5a,Q6,Q6a,Q7,Q7a,Q8,Q8a,LOA,Q25,Q26,Q27,W1,W2,W3,W4,CR_1,Congruence_1,Dissonance_1,Koczkodaj_1
2,8,2,8,1,8,3,8,1,8,1,8,1,3,3,4,2.75,Female,22,Nigeria,9,44,44,3,0.220400459,1.039720771,0,0.875
3,5,2,7,1,8,2,7,1,7,1,7,3,2,5,1,2.75,Male,30,France,16,15,66,3,0.206378917,1.039720771,0.083333333,0.875
3,7,2,7,3,6,2,7,1,8,1,8,2,-2,4,-1,0.75,Female,24,Russia,10,16,69,5,0.206378917,1.039720771,0,0.875
3,9,3,9,3,9,3,9,3,9,3,9,5,5,5,5,5,Female,23,India,25,25,25,25,0,0,0,0
2,7,2,8,1,6,2,7,1,7,1,9,2,3,4,5,3.5,Female,27,Nigeria,8,23,66,3,0.306176755,1.743177595,0,0.836734694
3,8,2,8,2,8,3,8,3,8,2,8,4,3,3,4,3.5,Female,28,Nigeria,7,19,19,55,0.446704654,2.079441542,0,0.875
3,7,3,9,1,7,3,8,1,7,1,8,5,5,5,5,5,Female,32,Nigeria,32,32,33,4,0.000842652,0.066765696,0,0.125
3,9,3,9,3,9,3,9,3,9,1,9,5,5,5,5,5,Female,,Nigeria,23,23,40,13,0.247938171,1.098612289,0,0.888888889
3,7,2,8,2,6,3,7,1,5,1,7,2,4,4,3,3.25,Female,26,Nigeria,7,28,52,12,0.515488407,1.868834809,0.166666667,0.966666667
3,2,3,4,1,7,3,5,1,7,1,7,3,3,3,3,3,Female,26,Nigeria,32,32,32,5,0,0,0,0
2,7,2,7,1,6,1,7,2,7,1,7,-1,4,4,2,2.25,Female,29,Nigeria,13,36,36,14,2.548461702,3.814744958,0.5,0.997084548
3,9,3,9,3,9,1,4,2,7,2,5,1,1,1,4,1.75,Male,25,India,21,18,10,51,0.282692885,1.666102255,0.083333333,0.857142857
2,7,2,6,2,7,1,8,2,5,2,4,3,4,-2,4,2.25,Male,25,Greece,4,30,11,56,0.334030409,1.767364387,0.25,0.9
1,9,3,9,3,9,2,9,2,9,1,9,5,3,5,4,4.25,Male,30,Nigeria,29,3,51,17,0.247938171,1.098612289,0,0.888888889
1,7,3,7,2,6,2,7,2,7,3,7,4,3,3,5,3.75,Male,31,Nigeria,19,4,30,47,0.16080706,0.895879735,0,0.833333333
1,8,1,7,1,9,2,8,1,8,1,9,3,1,1,0,1.25,Female,24,China,65,8,24,3,0.39028288,1.953784328,0,0.859375
3,9,3,9,3,9,2,9,1,6,1,9,5,4,5,3,4.25,Female,23,Cyprus,19,17,57,7,0.413297128,1.994492023,0,0.888888889
3,9,2,9,2,9,2,9,1,9,1,9,-3,-3,3,3,0,Female,25,Nigeria,5,14,73,8,0.879889843,2.197224577,0.166666667,0.987654321
3,9,3,9,2,9,3,9,3,9,3,9,5,5,5,5,5,Male,,Nigeria,13,23,23,40,0.247938171,1.098612289,0,0.888888889
2,6,2,6,1,7,2,6,1,8,1,7,2,2,4,-2,1.5,Male,37,Nigeria,10,26,61,3,0.325259917,1.791759469,0.083333333,0.854166667
2,9,2,9,3,9,3,9,1,9,1,9,5,5,5,5,5,Female,26,Nigeria,5,45,45,5,0,0,0,0
3,7,3,7,3,7,3,7,3,7,2,7,-3,2,3,3,1.25,Male,25,Nigeria,24,24,14,38,0.191412468,0.972955075,0,0.857142857
1,8,2,9,2,7,3,8,2,8,3,7,5,3,4,3,3.75,Female,24,Nigeria,11,7,32,50,0.801259446,2.13833306,0.166666667,0.986111111
2,8,2,8,2,9,1,8,2,8,2,8,3,3,-2,5,2.25,Male,34,Nigeria,3,23,8,66,0.420125348,2.020550024,0,0.875
3,6,3,6,2,6,3,7,3,6,3,6,2,2,2,2,2,Female,24,Laos,15,24,24,37,0.16080706,0.895879735,0,0.833333333
2,8,2,8,2,8,3,8,2,8,3,8,3,4,5,5,4.25,Male,25,Nigeria,4,17,29,49,0.220400459,1.039720771,0,0.875
